Longitude (x),Latitude (y),Location,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (Â°C)
-119.65,49.56,LOCATION,XX,2020-08-01 00:00,2020,8,1,00:00,25.7
-119.65,49.56,LOCATION,XX,2020-08-01 01:00,2020,8,1,01:00,23.7
-119.65,49.56,LOCATION,XX,2020-08-01 02:00,2020,8,1,02:00,22.7
-119.65,49.56,LOCATION,XX,2020-08-01 03:00,2020,8,1,03:00,23.7
-119.65,49.56,LOCATION,XX,2020-08-01 04:00,2020,8,1,04:00,22.9
-119.65,49.56,LOCATION,XX,2020-08-01 05:00,2020,8,1,05:00,22.6
-119.65,49.56,LOCATION,XX,2020-08-01 06:00,2020,8,1,06:00,23.3
-119.65,49.56,LOCATION,XX,2020-08-01 07:00,2020,8,1,07:00,25.4
-119.65,49.56,LOCATION,XX,2020-08-01 08:00,2020,8,1,08:00,26.7
